"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000106036",0.0986383360988006,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106049",3.95147833666257e-05,-1.28437469997752,3.06913879378388,-0.418480487939758,0.675595849628591,0.876098704580508
"ENSMUSG00000106052",0.174172185318645,-0.76962808908936,3.06709406595583,-0.250930709179118,0.801867681335263,0.876098704580508
"ENSMUSG00000106053",3.95147833666257e-05,-1.28437469997752,3.06913879378388,-0.418480487939758,0.675595849628591,0.876098704580508
"ENSMUSG00000106082",7.90295667332514e-05,-1.28357969332704,3.06913877993551,-0.418221457341208,0.675785208891514,0.876098704580508
"ENSMUSG00000106105",0.0761331331124777,-0.76962811585027,3.06709406617265,-0.250930717886546,0.801867674603062,0.876098704580508
"ENSMUSG00000106107",0.456798798674866,-2.25679853636401,3.05984996089455,-0.737552025493509,0.460786717503522,0.876098704580508
"ENSMUSG00000106120",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106136",0.274642048583684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106137",0.000118544350099877,-1.28278556126495,3.06913876610999,-0.417962711699356,0.675974380323377,0.876098704580508
"ENSMUSG00000106143",0.926430758450521,-2.88219348658732,3.04953088018298,-0.945126840759975,0.344594123762453,0.876098704580508
"ENSMUSG00000106162",0.0331013622228164,-0.827684996083765,3.06757218417908,-0.269817610275816,0.787300574091568,0.876098704580508
"ENSMUSG00000106181",0.0331013622228164,-0.827684996083765,3.06757218417908,-0.269817610275816,0.787300574091568,0.876098704580508
"ENSMUSG00000106204",3.95147833666257e-05,-1.28437469997752,3.06913879378388,-0.418480487939758,0.675595849628591,0.876098704580508
"ENSMUSG00000106214",0.163926762652842,-0.769628091092986,3.06709406597206,-0.250930709831055,0.801867680831214,0.876098704580508
"ENSMUSG00000106220",0.0761331331124777,-0.76962811585027,3.06709406617265,-0.250930717886546,0.801867674603062,0.876098704580508
"ENSMUSG00000106230",0.129616510004573,-0.769628098799205,3.0670940660345,-0.250930712338494,0.801867678892572,0.876098704580508
"ENSMUSG00000106239",7.90295667332514e-05,-1.28357969332704,3.06913877993551,-0.418221457341208,0.675785208891514,0.876098704580508
"ENSMUSG00000106245",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106261",0.617620505633681,-2.25679853636401,3.05984996089455,-0.737552025493509,0.460786717503522,0.876098704580508
"ENSMUSG00000106292",0.0986383360988006,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106296",0.617620505633681,-2.25679853636401,3.05984996089455,-0.737552025493509,0.460786717503522,0.876098704580508
"ENSMUSG00000106306",0.174172185318645,-0.76962808908936,3.06709406595583,-0.250930709179118,0.801867681335263,0.876098704580508
"ENSMUSG00000106307",0.274642048583684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106321",7.90295667332514e-05,-1.28357969332704,3.06913877993551,-0.418221457341208,0.675785208891514,0.876098704580508
"ENSMUSG00000106338",0.274642048583684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106350",0.228399399337433,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106356",0.0557071705701056,-0.769628125506757,3.06709406625089,-0.250930721028561,0.801867672173794,0.876098704580508
