sample,image_name,label,env_split,mean_activation,max_activation,spread_variance,contrast,homogeneity,energy,correlation,num_activation_clusters,avg_cluster_size,cluster_connectivity_normalized,center_of_mass_x,center_of_mass_y,normalized_moment_skewness,normalized_moment_kurtosis,radial_mean_activation_1_5px,radial_mean_activation_6_10px,radial_mean_activation_11_15px,radial_mean_activation_16_20px,radial_mean_activation_21_25px,radial_mean_activation_26_30px,radial_mean_activation_31_35px,radial_mean_activation_36_40px,radial_mean_activation_41_45px,radial_mean_activation_46_50px,radial_mean_activation_51_55px,radial_mean_activation_56_60px,radial_mean_activation_61_65px,radial_mean_activation_66_70px,radial_mean_activation_71_75px,radial_mean_activation_76_80px,radial_mean_activation_81_85px,radial_mean_activation_86_90px,radial_mean_activation_91_95px,radial_mean_activation_96_100px,radial_mean_activation_101_105px,radial_mean_activation_106_110px,radial_mean_activation_111_115px,radial_mean_activation_116_120px,radial_mean_activation_121_125px,radial_mean_activation_126_130px,radial_mean_activation_131_135px,radial_mean_activation_136_140px,radial_mean_activation_141_145px,radial_mean_activation_146_150px,radial_mean_activation_151_155px
RR3_BRN_GC_G9,horizontal_flip_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_304_A1.npy,0,horizontal_flip_transform,0.5640363239784998,1.0,0.3116642876388287,0.247520057762044,0.28581621949297964,0.006860710173758791,0.7833489409322283,2,0.3855647330003842,0.7640466687135399,0.15585976131511758,0.712154615635558,0.508045449006995,0.11908024877368406,0.1902660075329567,0.16462590778584696,0.14084954346963083,0.12141791630682261,0.10399244672241706,0.09169215694063747,0.08605174036277988,0.08678144587486525,0.11632489462387835,0.14682328103878195,0.17827452975877028,0.2015476828371694,0.2112080426442472,0.37059253919237345,0.5109824243453965,0.5739863187191795,0.5977398715321861,0.6150488167516592,0.629566093229362,0.6414616267537817,0.6509107780211995,0.6590740569952964,0.6694531810964695,0.706483784766511,0.7167874528350082,0.7144464959236541,0.7063125387542707,0.6971009390632292,0.6914353111957903,0.6899057919845685,0.6961077844311377
RR3_BRN_GC_G9,horizontal_flip_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_304_B1.npy,0,horizontal_flip_transform,0.5029928725644832,1.0,0.19070193326806428,0.21713032561197065,0.3500416468775909,0.013454799871795237,0.7257525860234182,2,0.3014790626200538,0.5073687442431685,0.17640625249614672,0.5999371370332172,0.5989996135362705,0.32158882465242483,0.16154661016949154,0.14138236784326969,0.11947862908561599,0.09841406924707544,0.07581840397340484,0.054204902077622866,0.03260397942106241,0.0018659217278005902,0.0,0.0,0.0,0.0,0.0,0.20714124318101124,0.3913934039380038,0.49996727887254533,0.5558495594132213,0.5960053979681035,0.6269698732704323,0.6499417887187153,0.663427959787928,0.6722124873190076,0.6883465984365045,0.7154095219406336,0.7099635816930498,0.6980713511703508,0.6836435701345914,0.6680612069459567,0.6558927599346761,0.6495702943354632,0.6522954091816368
RR3_BRN_GC_G8,horizontal_flip_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_304_C1.npy,0,horizontal_flip_transform,0.5653320264343311,1.0,0.2634567714997881,0.20739914542348958,0.3364252471781921,0.006055013999098566,0.7854006841616865,1,0.764406454091433,0.6040835124347559,0.14788629316312374,0.4339767398545413,0.5310142727441393,0.24022257980256484,0.0439030131826742,0.05051933794967066,0.05723170570332144,0.06617531600847923,0.07472349608848125,0.08501171890517618,0.09578334638769773,0.10236832651485495,0.14076181117633374,0.18874509233677478,0.2515960688484045,0.315854403170133,0.36975651755529937,0.5346463809595542,0.6618102357893941,0.6873515519438274,0.6747074277525674,0.662560971422988,0.6521410191255638,0.6437141056098428,0.6387824720952707,0.6356986073964769,0.6372852216300402,0.6357214177291169,0.6178157773739408,0.594309393036029,0.567563131466644,0.5387455687186331,0.5166825440029033,0.5058298744467217,0.512874251497006
RR3_BRN_GC_G8,horizontal_flip_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_304_D1.npy,0,horizontal_flip_transform,0.5899457277195279,1.0,0.20778473910574458,0.5562991341081637,0.008855960261322071,0.0027741051189772437,0.429614886703348,2,0.34556281213983864,0.6366287995087505,0.26653204299529887,0.42940295987144417,0.5102594608877725,0.18004686860989616,0.2158662900188324,0.1823805100489782,0.15003308191081116,0.12049540708173037,0.09251971627604375,0.06859200995775898,0.050962735894242744,0.05174715688219489,0.0963305836414885,0.1549394384933137,0.23349644101793393,0.32098219292452246,0.40420871370870726,0.5838991166248831,0.7162126446546225,0.7371531079296765,0.7183512878206982,0.700359952569713,0.6849490529201151,0.6726226286859445,0.6650931954428372,0.6594411140828184,0.6633367380993316,0.6536652372404956,0.626945898014144,0.5898540142590724,0.5454899147710003,0.5008883030546163,0.4634254218835058,0.44568830408349547,0.44850299401197613
RR3_BRN_FLT_F2,original_resized/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_158_A1.npy,1,original_resized,0.07806625163213493,1.0,0.6761081816630464,0.5003852599022574,0.7033650990992697,0.7532322385088972,0.7966550267540242,1,0.8222243565117173,0.7182990482038687,0.4438629240388534,0.14302276436943995,0.9153927227864093,0.7166373968056914,0.8153248587570623,0.7878314473906435,0.7580521370914384,0.7257694119494386,0.6835081483362162,0.6381109389690013,0.5937857468880838,0.557036616032986,0.5361019885702465,0.5148401273164978,0.48898579365595923,0.41482136849057305,0.2856012357715342,0.27745080106306286,0.25286005550206714,0.201754622340446,0.150396590951944,0.10930885409376727,0.07671151604068407,0.052110903270714284,0.03997720648537095,0.033230655722585996,0.032974990139662826,0.026093280157910227,0.016176588648289653,0.010171099567019035,0.006632299480844753,0.0036514577175933128,0.0010320268553801488,1.7222671925322493e-05,0.0
RR3_BRN_FLT_F2,original_resized/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_158_B1.npy,1,original_resized,0.10652793192881,1.0,0.6531665644780288,0.4609648201132608,0.7598994272556203,0.838643030337273,0.808969050252017,1,0.8640030733768729,0.7843107153822537,0.6938907874315374,0.8733873128507172,0.8469112558641513,0.5415965886443992,0.9811676082862525,0.9701697348420875,0.954955670239513,0.9334321268744602,0.8958171345149877,0.8511235583098293,0.797552165803576,0.7217202940435274,0.6456259212329654,0.5641779630437476,0.46837150684283096,0.3120786551857344,0.09696248369819838,0.08946728499338263,0.11198580355288734,0.12183423091877077,0.11432001307304565,0.10338270907223084,0.09020772059246246,0.07680603836811295,0.06365050457602908,0.052610901042147,0.04117676803430386,0.038026006706567465,0.035699428546405974,0.03468498425735161,0.03493051587253341,0.03616253080405754,0.03641580475412811,0.03628816974665449,0.033732534930139724
RR3_BRN_FLT_F7,original_resized/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_158_C1.npy,1,original_resized,0.2582062346657938,1.0,0.8811849605756313,0.27737096487399604,0.7876744947310075,0.6326693088664148,0.9648423345174706,1,0.9636957356895891,0.9408965305495853,0.29920411452390905,0.7829459495618976,0.6759292200441391,0.1052731814777258,0.993114406779661,0.9768620165512583,0.9601164483260554,0.9423431734317343,0.9131373077960616,0.8822945219083941,0.8500476155592998,0.8158635517927326,0.7881202968632826,0.7602744521459077,0.7281860729310272,0.633334994828596,0.4657947049215613,0.4162622795597112,0.3906335542089068,0.33237351359466605,0.2709765816499692,0.22173659288915415,0.1800544079399719,0.14594913134805826,0.12232262833865311,0.10525684773586645,0.09302494918133918,0.06443383757640118,0.044212846393565854,0.029694773998818723,0.019519994164062787,0.010553204031340314,0.0032094901106877152,3.4445343850644985e-05,0.0
RR3_BRN_FLT_F7,original_resized/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_158_D1.npy,1,original_resized,0.2877520741602055,1.0,0.772872618460165,0.4436038773849744,0.6506593736251951,0.4106631886200256,0.8588612963092146,1,0.9286400307337689,0.8817930610991709,0.6582140320445657,0.5318246384790521,0.6715232159921292,0.1370557285841275,0.9754001883239173,0.9764397905759162,0.9773322747121875,0.9765545261835596,0.9632253764737619,0.9474172062659729,0.9287344404185662,0.905047103799939,0.8846939567117478,0.8668777837019803,0.8497062286623789,0.7662400777579783,0.6030147254333428,0.5249410903926232,0.46925204357101047,0.3763815052488537,0.2887508956293289,0.2205323495157938,0.16524744574728134,0.12194596104053436,0.09559030197556628,0.07847274739463247,0.062394190997259326,0.04552327963846869,0.030320612469803457,0.02003990307923412,0.012832982771827013,0.006877184938964984,0.0017805298493921249,0.0,0.0
RR3_BRN_GC_G7,original_resized/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_159_A1.npy,0,original_resized,0.27583614974118115,1.0,0.7402715531025622,0.6440144620640235,0.5586845377586644,0.49605782588150793,0.7475850419025392,1,0.978966577026508,0.9571691740865829,0.6198864051422504,0.0861157372240473,0.6270305495124375,0.049683662461451505,0.7722457627118644,0.7549400439115014,0.7361122138414715,0.7156806940409829,0.6852139830844666,0.6528158476674745,0.6201405363371519,0.5932558725596908,0.5840966098626879,0.5792308230871559,0.5777798815447697,0.5339318870017071,0.43754668962635634,0.4501070594691142,0.461974476600404,0.4209861762860365,0.3692789712518698,0.32495820800135217,0.28635455304314233,0.25244394982536617,0.22628338653103497,0.20529927141934887,0.1775305670452362,0.11459746166232837,0.07563914493610376,0.05042763264983421,0.03499738598645576,0.021614009808175662,0.010138813282525859,0.004650121419837073,0.004491017964071857
RR3_BRN_GC_G7,original_resized/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_159_B1.npy,0,original_resized,0.29463848615070604,1.0,0.6949294119838675,0.6151603812725969,0.4159114503085115,0.4712840548175179,0.7430283887035785,1,0.9159623511333078,0.8658274485723056,0.6609636669952579,0.24449235086011933,0.6153709151580788,0.08957092200478989,0.9323210922787194,0.9113325451781793,0.8907635305015218,0.8701421056763758,0.8398657547723702,0.8095843430130167,0.7805176290268958,0.7541004702337228,0.7367898425176489,0.7202160718228772,0.7014774361128697,0.6256215030716894,0.48300181060788316,0.456315432703171,0.4500764569292631,0.4012033675814467,0.3442296330748056,0.29637591407617897,0.25355341797301684,0.21516409010736745,0.18528201198969668,0.16135940237941526,0.1344464558408592,0.08352331426790485,0.046865763142337924,0.02581608308025728,0.016219042176804584,0.008981276045291175,0.002755851932498639,3.4445343850644985e-05,0.0
RR3_BRN_FLT_F1,original_resized/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_159_C1.npy,1,original_resized,0.1077644951798869,1.0,0.720963836707886,0.5070451373734437,0.776191399557727,0.9266521272021456,0.8100589498717454,1,0.9243180945063388,0.8764200184218607,0.3697602360539094,0.016485492765853094,0.8229417691362635,0.3970639057838966,0.7756591337099812,0.7383043404830265,0.6986237925102554,0.6567774986260501,0.605666545010235,0.5524636184271509,0.5008424291260714,0.4611453971249792,0.44462775723410314,0.4315189116701404,0.41898360442343313,0.37081458958990143,0.2805555907266487,0.31574473579444573,0.32517792754526054,0.2897706056488214,0.24183563159151764,0.19873184721954468,0.1601147947744462,0.12566450179561783,0.10160440161248716,0.08291432260444526,0.06761460745744885,0.03694095103974882,0.0168407301177209,0.0061156817241106685,0.0029118895062553956,0.0015309923614124428,0.0004990019960079841,0.0,0.0
RR3_BRN_FLT_F1,original_resized/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_159_D1.npy,1,original_resized,0.043794457137834086,1.0,0.4438633277874481,0.17954189095258888,0.939696217659695,0.90569765119867,0.8975680595533504,1,0.8676527084133693,0.7853853239177158,0.33362510064239137,0.41267465030862893,0.8523382346112944,0.5286155237640675,0.9722810734463277,0.9224370883296741,0.8715230911737462,0.820071445395305,0.7598819403671908,0.6997775394271641,0.6424494119901051,0.5916419575020242,0.550407281942541,0.4996903257772823,0.42852747486820236,0.2949008710388915,0.09851985970954302,0.08641151723173268,0.08622170621660907,0.08195680041267112,0.07183261473483085,0.06285305325871955,0.05565200994336148,0.04975575901556202,0.0450961216372828,0.042204187033108916,0.036352787694299206,0.01765812666293438,0.0058203606799057065,0.0005301807730407728,0.0,0.0,0.0,0.0,0.0
RR3_BRN_GC_G9,original_resized/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_304_A1.npy,0,original_resized,0.8248798813070799,1.0,0.4683509265370137,0.8864049054631474,0.0,0.004470652271583747,0.4459150507987033,3,0.2067806377257011,0.6813018114829597,0.6306106931571727,0.7439277892324458,0.20183198960403528,0.14029370625722049,0.08939500941619587,0.07880847829758486,0.07082175466454943,0.06810865981000236,0.06882844856313175,0.07566969901614164,0.09064988194722282,0.11974070122196423,0.18747898942359909,0.27073066959645403,0.37949458312870926,0.4966354720931101,0.6032299725243419,0.7636083882977006,0.8885333484359365,0.8887982107317598,0.8532864882531145,0.8270827996545723,0.8094917249800512,0.8002541995281498,0.8020910739518642,0.8088370377201881,0.8132846552927256,0.874479837010787,0.8946824892898064,0.8922244803995889,0.8757492492309938,0.857789640012117,0.8423040283070223,0.8351790296746637,0.8336327345309382
RR3_BRN_GC_G9,original_resized/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_304_B1.npy,0,original_resized,0.7193131847908973,1.0,0.3461653693991371,0.7552495029339027,0.13683557582126293,0.005687878256697185,0.4218956115284982,5,0.06252401075681906,0.4740558796438441,0.6353645858818218,0.6721316180649488,0.25971120481909876,0.0329631544465796,0.14718691148775895,0.13426786015875697,0.12184729389969565,0.11179045301091309,0.10158047572954187,0.09426766773924443,0.09036813307562702,0.08493160967920088,0.10988078922189753,0.14291869301321097,0.18769414646557286,0.23705591346932664,0.28385393585636687,0.47581747167496957,0.6484444318589416,0.7210466141332172,0.7429386698176059,0.7573396784987101,0.7669150973984911,0.7730807216966894,0.7785871871185841,0.7829585907959051,0.7889624902660775,0.851151140174186,0.8639823674088994,0.8587579817785239,0.8416637284343883,0.823428276692074,0.8070790237706406,0.7987186332087559,0.7950099800399203
RR3_BRN_GC_G8,original_resized/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_304_C1.npy,0,original_resized,0.5377860211357444,1.0,0.018113166285427695,0.44565680078021874,0.17217218543431745,0.003917652201904265,0.25045316399518924,3,0.18059290562171854,0.5472827755603316,0.5062622480662351,0.4096201230824519,0.37471646604494213,0.33564781653576553,0.0211864406779661,0.03320807296064854,0.045031096996162506,0.058746172568108664,0.07143877243371047,0.08519710271587284,0.09980108529665338,0.11464158753478493,0.16489358951152028,0.23040300734062552,0.3202314669632978,0.4181734351829931,0.5073943706554908,0.6623591818289417,0.7677361197636442,0.7578251613921492,0.7131063567684438,0.6741491730069906,0.6407742208465655,0.6136926896075923,0.5963834546805635,0.5829567462879276,0.5729351442643178,0.5589364145836099,0.522642845152862,0.47444668195199535,0.4166798380527424,0.360192561178291,0.3116154055525313,0.2892203296419406,0.29141716566866266
RR3_BRN_GC_G8,original_resized/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_304_D1.npy,0,original_resized,0.5576094468358201,1.0,0.009787843124097362,0.34840426964960225,0.27230880584237016,0.010578772163859315,0.3605470464967766,3,0.18116916378537584,0.5480503530856617,0.5261958765524204,0.4030068510207565,0.3961001733895427,0.32169486363766225,0.0696798493408663,0.06398834656308057,0.059891491332539376,0.0594429614508911,0.06083086053412462,0.06617539956832054,0.07603275048883429,0.09496361988815194,0.15089860619068557,0.2178760118268625,0.30275902466732546,0.39060922877543647,0.4672507881842006,0.6187983516069681,0.7246842611995242,0.7272559292607719,0.6970007416439356,0.6705153158101839,0.6475947597289262,0.6284847203086532,0.6173808249558184,0.6083334870423314,0.6060314923999556,0.6001800730681103,0.5713696640611886,0.5391054827202925,0.5060791012656689,0.47478774878625873,0.44817183814189804,0.4364052839157466,0.4365269461077845
RR3_BRN_FLT_F2,rotate_90_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_158_A1.npy,1,rotate_90_transform,0.10783524782364157,1.0,0.5411552705327479,0.7230762599076456,0.415697796165998,0.6839158613687242,0.6018173641250542,1,0.87322320399539,0.7950568007368743,0.1707833177764002,0.5486613970294514,0.815840938469675,0.47118648635047156,0.6570150659133711,0.6635281202499578,0.6685854174937145,0.6716554133626442,0.6644266015011346,0.6542658139011376,0.6392600147636408,0.6096631153386272,0.5863567014041531,0.5603164601274242,0.528072469513458,0.44482797293424214,0.3036060218539104,0.2974854474440225,0.28929036642691275,0.24775667799715906,0.1978492325870803,0.15518894208804185,0.11826023368279207,0.08701303234576065,0.06509435051959203,0.049637554182421835,0.03687867234352404,0.015516873192776299,0.005802115035141111,0.0009859502095144195,1.8237303797006653e-05,0.0,0.0,0.0,0.0
