,corr,name
Fzd1,0.14882658059804985,Fzd1
Epm2aip1,-0.14862608427744697,Epm2aip1
Dab2ip,0.14839513251005246,Dab2ip
Zbtb14,0.1482720964395248,Zbtb14
Top3b,-0.1482236498445068,Top3b
Hopx,-0.14818047860345107,Hopx
Zfp707,-0.1481395957378837,Zfp707
Trim2,-0.14795850492862286,Trim2
Pdcd5,-0.14763108107895603,Pdcd5
Tada2b,0.147622271035196,Tada2b
Vps26c,0.1473761964295297,Vps26c
Flot2,0.14736325154616242,Flot2
Elp3,0.14726182577707075,Elp3
Chkb,-0.14714540551155056,Chkb
Msh3,-0.14698115583622984,Msh3
Timm9,-0.14694894343765247,Timm9
Eif4ebp3,-0.1468301179644683,Eif4ebp3
Nutf2,-0.14671297033040998,Nutf2
Ahcyl,0.14665605531713638,Ahcyl
Wsb1,-0.14662760966818864,Wsb1
Phykpl,-0.1465866045075445,Phykpl
Slc39a11,0.14641336206026753,Slc39a11
Emilin1,0.1464109644456598,Emilin1
Rasgrp2,-0.1462488131808471,Rasgrp2
Stk35,0.14621799643727534,Stk35
Arhgap23,0.1462033809649877,Arhgap23
Gbp10,0.1461382084365273,Gbp10
Prelp,0.14576258494921565,Prelp
Ushbp1,-0.14563189712442887,Ushbp1
Isy1,0.14561938930576243,Isy1
Alas2,0.1455319322930704,Alas2
Dis3l,0.1452292463884568,Dis3l
Med22,0.14520445685497316,Med22
Foxk1,0.14495041301756365,Foxk1
Bcat2,-0.14492776801695942,Bcat2
Rpl22l1,-0.14487793262451226,Rpl22l1
Pam16,-0.14468155014394501,Pam16
Rbm14,-0.14434667583181113,Rbm14
Xpnpep1,0.14426635417360703,Xpnpep1
Sult2a2,-0.14425153768754653,Sult2a2
Atg16l2,-0.1442065495179368,Atg16l2
Prpf39,-0.1441989995965305,Prpf39
Foxp1,-0.1439486797472038,Foxp1
Cobll1,0.14373788128716494,Cobll1
Anks1,0.1436056441992684,Anks1
Tbc1d22a,0.1435144108052981,Tbc1d22a
Tank,-0.1434707080690012,Tank
Uckl1,-0.14318019098810392,Uckl1
Plxnb1,-0.14299122834368352,Plxnb1
Ubr7,0.14279509986233843,Ubr7
Rps18,-0.1427735068069521,Rps18
Gale,-0.14253461858629912,Gale
Srp19,-0.14252439499556424,Srp19
Spry4,0.1425029842459453,Spry4
Fcf1,-0.1424396514510353,Fcf1
Srek1,-0.14194847024637558,Srek1
Gpat3,0.14188247742117693,Gpat3
Timm10b,-0.14186064776587606,Timm10b
Amotl2,0.14183715068324002,Amotl2
Miip,-0.14181746046724858,Miip
Ppm1l,0.14165900952578936,Ppm1l
Tafazzin,-0.14156117009294847,Tafazzin
Tspyl1,0.1413957395385771,Tspyl1
Uxt,-0.1413320669250289,Uxt
Ctif,0.14130033522556007,Ctif
Nid1,0.14122562320771131,Nid1
Mup10,-0.1410762450257737,Mup10
Nemf,-0.1409903364702822,Nemf
Ankrd16,-0.14098237985133225,Ankrd16
Lats2,0.14094915456162552,Lats2
Myo18a,0.14094177505223277,Myo18a
Galnt2,0.1407740439934412,Galnt2
Rab35,0.14067425844962103,Rab35
Kif13a,0.14062595606307837,Kif13a
Ice2,-0.14041072413736813,Ice2
Ercc5,-0.1402299468288666,Ercc5
Elac2,0.14012951889035502,Elac2
Clk2,-0.140091077519461,Clk2
Naa16,-0.14005905219413026,Naa16
Frrs1,-0.13986701973383914,Frrs1
Mycbp,-0.1398497266548106,Mycbp
Nop58,-0.1398360027252435,Nop58
Sik1,0.13968415629410164,Sik1
Zfp280d,-0.1395010214175192,Zfp280d
Slc7a6os,-0.13948815679600982,Slc7a6os
Cntrl,-0.13934078062584512,Cntrl
Myh10,0.13921390372446754,Myh10
Eif3j1,-0.13919344112200857,Eif3j1
Rpl29,-0.13906830223190803,Rpl29
Ptges2,0.13904672104243002,Ptges2
Rfx7,-0.13902922517808783,Rfx7
Gramd1c,-0.13891054531061225,Gramd1c
Zcrb1,-0.1388724948876127,Zcrb1
Dkc1,-0.13886299939229652,Dkc1
Brd1,0.1386270474824264,Brd1
Gm7072,-0.13849689205339136,Gm7072
Cpeb3,0.13848280279959682,Cpeb3
Fam133b,-0.1384797653616822,Fam133b
Col4a1,0.13840492776216284,Col4a1
Chrna4,-0.1383220193330766,Chrna4
Gid4,0.13798297434279078,Gid4
Eloc,-0.137794075641769,Eloc
Zfp672,-0.13765587541915256,Zfp672
Plpp1,0.137577019939699,Plpp1
Farp2,0.137519223697602,Farp2
Traf6,0.13744380977572934,Traf6
Dsg1c,0.13730247865298728,Dsg1c
Mup9,0.1371326633646335,Mup9
Card6,0.1371204674051809,Card6
Tgtp2,-0.1370041945924571,Tgtp2
Nhlrc3,0.1369450365814534,Nhlrc3
Tbc1d5,0.1368796481294393,Tbc1d5
Pakap,0.1367941882678977,Pakap
Cyp3a59,-0.13672181482792659,Cyp3a59
Dab2,0.1366844506486285,Dab2
Lpl,-0.13668270348163622,Lpl
Arhgap26,0.1366740075433899,Arhgap26
Crem,-0.13648724605535872,Crem
Ppan,-0.13629199913887757,Ppan
Tifa,-0.136127349771132,Tifa
Aamdc,-0.13606046125053567,Aamdc
Rps6ka1,0.13572196859176044,Rps6ka1
Sbk1,0.1356892215302636,Sbk1
Micu1,0.13558732447481223,Micu1
Fem1c,0.1355326952157535,Fem1c
Washc5,0.13553160508908368,Washc5
Ntn1,0.13544459049027904,Ntn1
Spryd3,0.13536114108580866,Spryd3
Bola2,-0.13507646810774226,Bola2
Shfl,-0.13506956351579166,Shfl
Psen1,0.13500374594193582,Psen1
Thoc3,0.13496293166032383,Thoc3
Bcl2l2,-0.13494388108232255,Bcl2l2
C4a,0.13491597328486635,C4a
Tlcd2,-0.13472415998851814,Tlcd2
Tmem87a,-0.13455507229729044,Tmem87a
Gtpbp1,0.1341063348366113,Gtpbp1
Gnl3,-0.13409487680475674,Gnl3
Coro1c,0.13403476077042376,Coro1c
Rap2a,0.1339663776595666,Rap2a
Polr1f,-0.1338846158029648,Polr1f
Antkmt,-0.1338328916881098,Antkmt
Cox17,-0.1337338782402373,Cox17
Ankrd13a,0.13368679457513993,Ankrd13a
Ankzf1,-0.13359139465239125,Ankzf1
Abcd1,0.1331692093691785,Abcd1
Pnisr,-0.13316095635936193,Pnisr
Acsf3,0.13315997664451976,Acsf3
Orc4,-0.1331592209770262,Orc4
Eps8l2,-0.13311951399042346,Eps8l2
Paqr7,0.1330787966798848,Paqr7
Tspan14,0.1329014948528552,Tspan14
Nsf,0.1328949651680144,Nsf
Rpl30,-0.1328007292760671,Rpl30
Pdpr,0.13274317219078374,Pdpr
